word	sentence#	tag	pos	lemma
Héraðsdóms	0	B-Organization	nkee-s	Héraðsdómur
Reykjavíkur	0	I-Organization	nvee-s	Reykjavík
6.	0	B-Date	ta	6.
júní	0	I-Date	nkeo	júní
2008	0	I-Date	ta	2008
í	0	O	aþ	í
máli	0	O	nheþ	mál
nr.	0	O	as	nr.
E-7823	0	O	ta	e-7823
/	0	O	/	/
2006	0	O	ta	2006
:	0	O	:	:

Áslaug	1	B-Person	nven-s	Áslaug
Þorgeirsdóttir	1	I-Person	nven-s	Þorgeirsdóttir

(	2	O	(	(
Benedikt	2	B-Person	nken-s	Benedikt
Ólafsson	2	I-Person	nken-s	Ólafsson
hrl.	2	O	as	hrl.
)	2	O	)	)

gegn	3	O	aþ	gegn

Listaháskóla	4	B-Organization	nkeþ-s	Listaháskóli
Íslands	4	I-Organization	nhee-s	Ísland

(	5	O	(	(
Sigurbjörn	5	B-Person	nken-s	Sigurbjörn
Magnússon	5	I-Person	nken-s	Magnússon
hrl.	5	O	as	hrl.
)	5	O	)	)

Ár	6	O	nheo	ár
2008	6	B-Date	ta	2008
,	6	I-Date	,	,
föstudaginn	6	I-Date	nkeog	föstudagur
6.	6	I-Date	ta	6.
júní	6	I-Date	nkeo	júní
,	6	O	,	,
er	6	O	sfg3en	vera
á	6	O	aþ	á
dómþingi	6	O	nheþ	dómþing
Héraðsdóms	6	B-Organization	nkee-s	Héraðsdómur
Reykjavíkur	6	I-Organization	nvee-s	Reykjavík
,	6	O	,	,
sem	6	O	ct	sem
háð	6	O	sþghen	heyja
er	6	O	sfg3en	vera
í	6	O	aþ	í
Dómhúsinu	6	B-Location	nheþgs	Dómhús
við	6	O	ao	við
Lækjartorg	6	B-Location	nheo-s	Lækjartorg
af	6	O	aþ	af
Allani	6	B-Person	nkeþ-s	Allan
Vagni	6	I-Person	nkeþ-s	Vagn
Magnússyni	6	I-Person	nkeþ-s	Magnússon
héraðsdómara	6	O	nkeþ	héraðsdómari
,	6	O	,	,
ásamt	6	O	aþ	ásamt
meðdómsmönnunum	6	O	nkfþg	meðdómsmaður
Elínu	6	B-Person	nveþ-s	Elína
Ólafsdóttur	6	I-Person	nveþ-s	Ólafsdóttir
og	6	O	c	og
Jóni	6	B-Person	nkeþ-s	Jón
Hjaltalín	6	I-Person	nkeþ-s	Hjaltalín
Ólafssyni	6	I-Person	nkeþ-s	Ólafsson
læknum	6	O	nkfþ	læknir
kveðinn	6	O	sþgken	kveða
upp	6	O	aa	upp
dómur	6	O	nken	dómur
í	6	O	aþ	í
málinu	6	O	nheþg	mál
nr.	6	O	as	nr.
E-	6	O	x	e
7823/2006	6	O	ta	7823/2006

Áslaug	7	B-Person	nven-s	Áslaug
Þorgeirsdóttir	7	I-Person	nven-s	Þorgeirsdóttir

(	8	O	(	(
Benedikt	8	B-Person	nken-s	Benedikt
Ólafsson	8	I-Person	nken-s	Ólafsson
hrl.	8	O	as	hrl.
)	8	O	)	)

gegn	9	O	aþ	gegn

Listaháskóla	10	B-Organization	nkeþ-s	Listaháskóli
Íslands	10	I-Organization	nhee-s	Ísland

(	11	O	(	(
Stefán	11	B-Person	nken-s	Stefán
A.	11	I-Person	as	A.
Svensson	11	I-Person	nken-s	Svensson
hdl.	11	O	as	hdl.
)	11	O	)	)

Mál	12	O	nhen	mál
þetta	12	O	fahen	þessi
,	12	O	,	,
sem	12	O	ct	sem
dómtekið	12	O	sþghen	dómtaka
var	12	O	sfg3eþ	vera
28.	12	B-Date	ta	28.
maí	12	I-Date	nkeo	maí
sl.	12	O	as	sl.
,	12	O	,	,
er	12	O	sfg3en	vera
höfðað	12	O	sþghen	höfða
með	12	O	aþ	með
stefnu	12	O	nveþ	stefna
birtri	12	O	sþgveþ	birta
15.	12	B-Date	ta	15.
desember	12	I-Date	nkeo	desember
2006	12	I-Date	ta	2006
.	12	O	.	.

Stefnandi	13	O	nken	stefnandi
er	13	O	sfg3en	vera
Áslaug	13	B-Person	nven-s	Áslaug
Þorgeirsdóttir	13	I-Person	nven-s	Þorgeirsdóttir
,	13	O	,	,
Nygaardsvej	13	B-Location	e	Nygaardsvej
49b	13	O	ta	49b
,	13	O	,	,
Kaupmannahöfn	13	B-Location	nveþ-s	Kaupmannahöfn
.	13	O	.	.

Stefndi	14	O	lkenvf	stefndur
er	14	O	sfg3en	vera
Listaháskóli	14	B-Organization	nken-s	Listaháskóli
Íslands	14	I-Organization	nhee-s	Ísland
,	14	O	,	,
Skipholti	14	B-Location	nheþ-s	Skipholt
1	14	O	ta	1
,	14	O	,	,
Reykjavík	14	B-Location	nveþ-s	Reykjavík
.	14	O	.	.

Dómkröfur	15	O	nvfn	dómkrafa
stefnanda	15	O	nkee	stefnandi
eru	15	O	sfg3fn	vera
þær	15	O	fpvfn	hún
að	15	O	c	að
stefndi	15	O	lkenvf	stefndur
greiði	15	O	svg3en	greiða
henni	15	O	fpveþ	hún
15.414.976	15	B-Money	ta	15.414.976
krónur	15	I-Money	nvfo	króna
ásamt	15	O	aþ	ásamt
4,5%	15	B-Percent	tp	4,5%
ársvöxtum	15	O	nkfþ	ársvextir
af	15	O	aþ	af
14.662.516	15	B-Money	ta	14.662.516
krónum	15	I-Money	nvfþ	króna
frá	15	O	aþ	frá
19.	15	B-Date	ta	19.
janúar	15	I-Date	nkeþ	janúar
2001	15	I-Date	ta	2001
til	15	O	ae	til
1.	15	B-Date	ta	1.
maí	15	I-Date	nkee	maí
2001	15	I-Date	ta	2001
en	15	O	c	en
af	15	O	aþ	af
15.414.976	15	B-Money	ta	15.414.976
krónum	15	I-Money	nvfþ	króna
frá	15	O	aþ	frá
þeim	15	O	fakeþ	sá
degi	15	O	nkeþ	dagur
til	15	O	ae	til
16.	15	B-Date	ta	16.
janúar	15	I-Date	nkee	janúar
2007	15	I-Date	ta	2007
en	15	O	c	en
með	15	O	aþ	með
dráttarvöxtum	15	O	nkfþ	dráttarvextir
skv.	15	O	as	skv.
9.	15	O	ta	9.
gr.	15	O	as	gr.
laga	15	O	nhfe	lag
nr.	15	O	as	nr.
38/2001	15	O	ta	38/2001
um	15	O	ao	um
vexti	15	O	nkfo	vöxtur
og	15	O	c	og
verðtryggingu	15	O	nveo	verðtrygging
frá	15	O	aþ	frá
þeim	15	O	fakeþ	sá
degi	15	O	nkeþ	dagur
til	15	O	ae	til
greiðsludags	15	O	nkee	greiðsludagur
.	15	O	.	.

Til	16	O	ae	til
vara	16	O	nkee	vari
er	16	O	sfg3en	vera
þess	16	O	fphee	það
krafist	16	O	sþmhen	krefja
að	16	O	c	að
stefnandi	16	O	nken	stefnandi
greiði	16	O	svg3en	greiða
stefnanda	16	O	nkeþ	stefnandi
5.639.965	16	B-Money	ta	5.639.965
krónur	16	I-Money	nvfo	króna
ásamt	16	O	aþ	ásamt
4,5%	16	B-Percent	tp	4,5%
ársvöxtum	16	O	nkfþ	ársvextir
af	16	O	aþ	af
4.887.505	16	B-Money	ta	4.887.505
krónum	16	I-Money	nvfþ	króna
frá	16	O	aþ	frá
19.	16	B-Date	ta	19.
janúar	16	I-Date	nkeþ	janúar
2001	16	I-Date	ta	2001
til	16	O	ae	til
1.	16	B-Date	ta	1.
maí	16	I-Date	nkee	maí
2001	16	I-Date	ta	2001
en	16	O	c	en
af	16	O	aþ	af
5.639.965	16	B-Money	ta	5.639.965
krónum	16	I-Money	nvfþ	króna
frá	16	O	aþ	frá
þeim	16	O	fakeþ	sá
degi	16	O	nkeþ	dagur
til	16	O	ae	til
16.	16	B-Date	ta	16.
janúar	16	I-Date	nkee	janúar
2007	16	I-Date	ta	2007
en	16	O	c	en
með	16	O	aþ	með
dráttarvöxtum	16	O	nkfþ	dráttarvextir
skv.	16	O	as	skv.
9.	16	O	ta	9.
gr.	16	O	as	gr.
laga	16	O	nhfe	lag
nr.	16	O	as	nr.
38/2001	16	O	ta	38/2001
um	16	O	ao	um
vexti	16	O	nkfo	vöxtur
og	16	O	c	og
verðtryggingu	16	O	nveo	verðtrygging
frá	16	O	aþ	frá
þeim	16	O	fakeþ	sá
